Date,Time,CategoryA,CategoryB,Borrowing,Directions,Equipment,Referral,Reference,Other,Catalogue
7/17/2017,8am-10am,,,,,17,,28,,
7/17/2017,8am-10am,,,,0,,,,,18
7/17/2017,10am-12pm,,,,,,24,,,
7/17/2017,10am-12pm,5,,,,,,,,
7/17/2017,12pm-2pm,,,,,25,,,,
7/17/2017,12pm-2pm,,,21,38,,,,,33
7/17/2017,2pm-4pm,31,,,,,,,,
7/17/2017,4pm-6pm,,,5,,,,,,
7/17/2017,4pm-6pm,,,,26,26,,,25,
7/17/2017,4pm-6pm,,,,,,,,,23
7/17/2017,6pm-8pm,,,,2,,,0,24,
7/17/2017,6pm-8pm,,,,,,,,39,
7/18/2017,8am-10am,37,9,,,,,,,
7/18/2017,8am-10am,,,,,,,,,
7/18/2017,10am-12pm,,4,,,,,26,,
7/18/2017,12pm-2pm,,,,39,4,,,,39
7/18/2017,12pm-2pm,,,,,,,,,
7/18/2017,2pm-4pm,,20,,13,16,,10,,
7/18/2017,4pm-6pm,,2,,29,4,28,23,,
7/18/2017,4pm-6pm,,,,32,,,,,27
7/19/2017,8am-10am,,,,30,,,,,
7/19/2017,8am-10am,,,,,,,,,1
7/19/2017,10am-12pm,8,,,,31,,,,
7/19/2017,10am-12pm,19,,,32,,,,,
7/19/2017,12pm-2pm,,,,2,,,,34,
7/19/2017,12pm-2pm,,10,,,,,17,,
7/19/2017,2pm-4pm,,,,,,,,,
7/19/2017,2pm-4pm,,,11,,,,,,
7/19/2017,4pm-6pm,,,,,,,,,
7/19/2017,4pm-6pm,,38,,,2,,,,
7/19/2017,6pm-8pm,,,,,32,,,37,
7/19/2017,6pm-8pm,14,,,,,3,,,
7/20/2017,8am-10am,19,,31,,,,,14,
7/20/2017,8am-10am,,,,,,,,26,12
7/20/2017,10am-12pm,,,,,,,,,
7/20/2017,10am-12pm,,3,,,,9,,,
7/20/2017,12pm-2pm,,31,,26,,,,,
7/20/2017,12pm-2pm,,,,,,,,,
7/2/2017,2pm-4pm,,,,,,,,,
7/20/2017,4pm-6pm,,,,,,,,4,
7/21/2017,8am-10am,36,,,13,,,,13,
7/21/2017,10am-12pm,,,26,,,,,,
7/21/2017,12pm-2pm,26,28,,,,,,,39
7/21/2017,2pm-4pm,,,,,,,,,
7/21/2017,8am-10am,,5,21,,,,,,2
7/21/2017,10am-12pm,,1,,10,,,,15,36
7/21/2017,12pm-2pm,33,,,,,,0,,
7/21/2017,2pm-4pm,,38,,,35,,13,28,
7/21/2017,4pm-6pm,,12,,,,,,,
7/21/2017,4pm-6pm,,,,,31,,,,
7/22/2017,10am-12pm,0,11,,24,,,,,
7/22/2017,8am-10am,,,,,,,,,37
7/22/2017,10am-12pm,,,36,,35,,,,
7/22/2017,10am-12pm,,8,,,,,,,
7/22/2017,12pm-2pm,10,,,16,,,,5,
7/22/2017,12pm-2pm,,,,,,,12,,
7/22/2017,2pm-4pm,18,,,,,2,,,
7/22/2017,2pm-4pm,,,2,,,,,,
7/22/2017,4pm-6pm,,,,,,,,,16
7/22/2017,4pm-6pm,,,,4,,1,,38,
7/22/2017,6pm-8pm,,18,,21,,,,35,
7/22/2017,6pm-8pm,,,,,,,3,,
7/23/2017,12pm-2pm,,,,,,,,,
7/23/2017,12pm-2pm,22,,,,,,,9,
7/23/2017,2pm-4pm,,,,,35,,,,31
7/23/2017,2pm-4pm,,,,,,39,,,
7/23/2017,4pm-6pm,,,,,,,,,34
7/23/2017,6pm-8pm,,,,38,,,11,,
7/24/2017,8am-10am,38,,37,,,,,,
7/24/2017,8am-10am,,,,,,,24,,
7/24/2017,10am-12pm,,,,,11,,,,
7/24/2017,10am-12pm,,,,,,,,,
7/24/2017,12pm-2pm,,13,,,,32,,,
7/24/2017,12pm-2pm,23,,33,25,,7,,,
7/24/2017,12pm-2pm,,,,,,13,,34,
7/24/2017,2pm-4pm,,7,0,,,,,,
7/24/2017,2pm-4pm,,,,,2,,36,4,
7/24/2017,4pm-6pm,,,,15,,,34,,
7/24/2017,4pm-6pm,,,,,5,,,,4
7/24/2017,4pm-6pm,,19,,,,,,,
7/24/2017,6pm-8pm,,,,,,10,,,31
7/24/2017,6pm-8pm,,,6,,,,14,,
7/24/2017,4pm-6pm,,,,,,,22,4,
7/24/2017,6pm-8pm,,,,,21,,,38,
7/25/2017,8am-10am,,0,,,35,,,16,
7/25/2017,8am-10am,,,,,,,,,
7/25/2017,10am-12pm,25,,,,,,,3,
7/25/2017,12pm-2pm,13,10,,32,,,,,
7/25/2017,12pm-2pm,1,7,,12,,,,,
7/25/2017,2pm-4pm,,20,26,,,,,,
7/25/2017,2pm-4pm,32,,,,,,,,
7/25/2017,4pm-6pm,,6,,,,,,,
7/25/2017,4pm-6pm,,2,,,,,,,
7/25/2017,4pm-6pm,,,,,,,,,
7/25/2017,6pm-8pm,,,,,21,,16,,
7/25/2017,6pm-8pm,,,,15,,,,,
7/25/2017,6pm-8pm,,,,,,,,,
7/25/2017,6pm-8pm,,,,,,10,,,
7/26/2017,8am-10am,,,29,,,,9,4,
7/26/2017,8am-10am,,,,,,,2,,14
7/26/2017,10am-12pm,,,,,,,,,
7/26/2017,10am-12pm,,19,,21,,,,7,3
7/26/2017,12pm-2pm,,25,30,,,,,15,
7/26/2017,12pm-2pm,,1,,,,,36,8,
7/26/2017,2pm-4pm,,19,,22,,,,,
7/26/2017,2pm-4pm,,,,,,,,,
7/26/2017,4pm-6pm,34,7,,9,,8,,,
7/26/2017,4pm-6pm,,,,,,,,26,
7/26/2017,4pm-6pm,,,,1,37,,,,
7/26/2017,6pm-8pm,,,21,,,,,,
7/26/2017,6pm-8pm,,,,,,,,19,
7/26/2017,6pm-8pm,,,,,25,,,,
7/27/2017,8am-10am,,26,,32,,21,,,
7/27/2017,8am-10am,23,,,15,,,,,7
7/27/2017,10am-12pm,,,,,,,,,
7/27/2017,10am-12pm,17,,,,,,,,
7/27/2017,10am-12pm,,34,,,,3,,,
7/27/2017,12pm-2pm,,,,,1,,,,
7/27/2017,12pm-2pm,4,,11,,,,,,
7/27/2017,12pm-2pm,14,,,,,2,,6,
7/27/2017,2pm-4pm,,,,,,,,16,
7/27/2017,2pm-4pm,,,,,,31,,38,
7/27/2017,4pm-6pm,,,,,,31,12,,
7/27/2017,4pm-6pm,,,,,,32,27,,0
7/28/2017,8am-10am,,,,,,,,,
7/28/2017,10am-12pm,,,6,,,16,,,
7/28/2017,12pm-2pm,,27,,,3,,,,
7/28/2017,10am-12pm,,,,,31,,,,
7/28/2017,12pm-2pm,35,,,33,,,,,36
7/28/2017,12pm-2pm,,,,22,,,,,
7/28/2017,2pm-4pm,,,,,27,,,,
7/28/2017,2pm-4pm,13,,,,,,33,,
7/28/2017,4pm-6pm,,,,3,,13,,,
7/29/2017,8am-10am,,,,,,,8,27,
7/29/2017,8am-10am,29,38,,,,12,,,
7/29/2017,8am-10am,,11,,,,25,,2,
7/29/2017,10am-12pm,,,,,,26,,,
7/29/2017,10am-12pm,,,,,,,,,12
7/29/2017,12pm-2pm,,,,,,,,,
7/29/2017,10am-12pm,,34,,,,,33,,
7/29/2017,2pm-4pm,,,,,,2,8,,
7/29/2017,2pm-4pm,,17,,,,29,,,
7/29/2017,4pm-6pm,,,5,,,,,,
7/29/2017,4pm-6pm,,,30,,33,10,,,2
7/29/2017,6pm-8pm,12,,5,,4,,1,,
7/29/2017,6pm-8pm,,4,,,,,6,,
7/30/2017,8am-10am,,,,,,,6,13,
7/30/2017,8am-10am,,,,,,,,1,
7/30/2017,10am-12pm,,9,,,,,,,27
7/30/2017,10am-12pm,,,,,,,8,26,
7/30/2017,12pm-2pm,7,,,,,24,,,30
7/30/2017,12pm-2pm,,,,,39,,,,
7/30/2017,2pm-4pm,,,,,,,,,3
7/30/2017,2pm-4pm,,0,33,,,,,,25
7/30/2017,4pm-6pm,,,,,,,,,
7/30/2017,4pm-6pm,,35,,35,,,,,12
7/29/2017,4pm-6pm,,4,,,,,,,
7/29/2017,6pm-8pm,,,,,,37,12,2,15
7/30/2017,4pm-6pm,,,,,,,6,,
7/30/2017,6pm-8pm,31,,,,,10,26,,
7/30/2017,6pm-8pm,,,,,,,,,
7/30/2017,6pm-8pm,33,1,,,,34,23,18,
7/31/2017,8am-10am,,,10,30,21,7,,,30
7/31/2017,8am-10am,,,,,,,,,
7/31/2017,10am-12pm,,,,30,,,,,
7/31/2017,10am-12pm,,,,,20,,,,
7/31/2017,12pm-2pm,,,,,31,,,25,
8/2/2017,12pm-2pm,13,,,,,,,,
7/31/2017,2pm-4pm,,,,,,,11,,23
7/31/2017,4pm-6pm,,,,24,,23,,,
7/31/2017,4pm-6pm,,,,,,,23,,
7/31/2017,6pm-8pm,,23,27,,,35,,3,
7/31/2017,6pm-8pm,,15,,,,21,,,
8/1/2017,8am-10am,,,,,,,,,
8/1/2017,8am-10am,,,,,,,38,,
8/1/2017,10am-12pm,6,,33,39,,,,,
8/1/2017,12pm-2pm,,,,,,25,,,0
8/1/2017,12pm-2pm,,,,,,,33,,
8/1/2017,2pm-4pm,,7,,,,,0,,
8/1/2017,2pm-4pm,,,21,15,,19,,37,
8/1/2017,2pm-4pm,,,,8,,,,,
8/1/2017,4pm-6pm,,,,,7,33,,,
8/1/2017,4pm-6pm,,,,33,,,,,15
8/1/2017,6pm-8pm,3,,,,,3,,,
8/1/2017,6pm-8pm,,,26,,,,,,
8/2/2017,8am-10am,,,1,,,,,0,
8/2/2017,8am-10am,,,,,3,,11,14,
8/2/2017,10am-12pm,,30,38,,,,,,
8/2/2017,10am-12pm,,27,,,,,,32,
8/2/2017,12pm-2pm,,,,,,,,,
8/2/2017,12pm-2pm,,,,,,18,,,
8/2/2017,2pm-4pm,,,,,,,,,
8/2/2017,2pm-4pm,,,,,,,,,4
8/2/2017,4pm-6pm,,,,,,,,,
8/2/2017,4pm-6pm,,,,,,,,,33
8/2/2017,6pm-8pm,,,,11,,,,,
8/2/2017,6pm-8pm,,,,,,,,,
8/3/2017,8am-10am,30,,,,,,,,25
8/3/2017,8am-10am,,,,,,,,,23
8/3/2017,10am-12pm,,,,,,,,,
8/3/2017,10am-12pm,,,,,,,,23,
8/3/2017,12pm-2pm,32,39,18,,,,17,,
8/3/2017,12pm-2pm,,,31,,,,5,,
8/3/2017,12pm-2pm,,14,,,20,,,,
8/3/2017,2pm-4pm,,29,,,,,,,
8/3/2017,2pm-4pm,,,16,,,,,24,
8/3/2017,4pm-6pm,38,,,,29,15,,31,
8/3/2017,4pm-6pm,17,34,,,38,,4,,
8/4/2017,8am-10am,,18,,,12,,,27,
8/4/2017,10am-12pm,6,14,,,7,,,7,9
8/4/2017,12pm-2pm,,,,,36,,,,
8/4/2017,12pm-2pm,3,,,,,,,,35
8/4/2017,2pm-4pm,24,,,28,,16,,,
8/4/2017,2pm-4pm,33,,,,,,,,31
8/4/2017,4pm-6pm,,,,0,13,,,,
8/5/2017,8am-10am,,,10,,16,,,,35
8/5/2017,8am-10am,,,30,33,,,,,
8/5/2017,10am-12pm,,,,34,17,,,,
8/5/2017,12pm-2pm,,,9,18,,,,18,12
8/5/2017,12pm-2pm,,,,,,,16,,7
8/5/2017,2pm-4pm,,,,,37,31,,,
8/5/2017,2pm-4pm,22,,,27,,,,,32
8/5/2017,4pm-6pm,,,,,,,,,
8/5/2017,4pm-6pm,,,38,,,,,17,
8/5/2017,4pm-6pm,,,,,,,,,
8/5/2017,6pm-8pm,,25,,,,27,,,
8/5/2017,6pm-8pm,,20,,,,,,31,
8/5/2017,6pm-8pm,,,,31,,,,,
8/6/2017,8am-10am,,10,0,7,,,,,
8/6/2017,8am-10am,,38,,,,17,,,
8/6/2017,10am-12pm,,,,,,1,,,
8/6/2017,10am-12pm,26,,,,34,,,,
8/6/2017,12pm-2pm,,,24,,,18,,4,
8/6/2017,12pm-2pm,39,,5,7,,,,,16
8/6/2017,12pm-2pm,12,,21,,,,,,
8/6/2017,2pm-4pm,,,,,,,,,
8/6/2017,2pm-4pm,22,,,12,6,20,,,
8/6/2017,4pm-6pm,,,,,,,,,
8/6/2017,6pm-8pm,,,,,31,,,,
8/6/2017,4pm-6pm,10,,,,2,0,,,
8/6/2017,6pm-8pm,,,,,,,11,,
8/6/2017,4pm-6pm,,,16,,,,,,
8/6/2017,6pm-8pm,,,,,,,,,
8/7/2017,8am-10am,,31,33,,,,34,,
8/7/2017,8am-10am,,,,,,,,,
8/7/2017,10am-12pm,,9,,,,,,,
8/7/2017,10am-12pm,,,,,,,,,
8/7/2017,12pm-2pm,,,30,,,,4,,
8/7/2017,12pm-2pm,,,,,29,,,,
8/7/2017,2pm-4pm,,,,,,,,,
8/7/2017,12pm-2pm,22,0,,26,,,25,,
8/7/2017,2pm-4pm,,,,,,,,,
8/7/2017,2pm-4pm,,5,,,,,,,
8/7/2017,4pm-6pm,,10,,,7,2,33,,29
8/7/2017,4pm-6pm,27,,,,6,,0,14,
8/7/2017,4pm-6pm,,,,,,34,35,,
8/7/2017,6pm-8pm,,,,,,,,,
8/7/2017,6pm-8pm,,,,31,,,35,,
8/7/2017,6pm-8pm,,,,25,,7,,,
8/8/2017,8am-10am,,,,,,,,,
8/8/2017,8am-10am,,,,,,,,,
8/8/2017,10am-12pm,,,,,15,13,,13,
8/8/2017,12pm-2pm,,,,,,,,,
8/8/2017,12pm-2pm,,,,,,,,,
8/8/2017,2pm-4pm,,,,,,,,,
8/8/2017,2pm-4pm,,,,,,22,,,
8/8/2017,4pm-6pm,6,,,,,,,,
8/8/2017,4pm-6pm,,,,20,,,,,
8/8/2017,6pm-8pm,,28,,,,,24,,15
8/8/2017,4pm-6pm,,,,12,,,,,
8/8/2017,6pm-8pm,9,,,,,,,,
8/8/2017,6pm-8pm,,18,,,,28,,,
8/9/2017,8am-10am,27,,,,,,,,24
8/9/2017,8am-10am,,,,,,38,,,
8/9/2017,10am-12pm,,,,,,,,18,
8/9/2017,10am-12pm,,,,,,34,,,
8/9/2017,12pm-2pm,,3,,,,,,,
8/9/2017,12pm-2pm,,,,15,,,,,
8/9/2017,2pm-4pm,,0,,,,,,,
8/9/2017,2pm-4pm,18,35,,,11,,,,
8/9/2017,4pm-6pm,5,,,,,,,36,
8/9/2017,6pm-8pm,,17,,,,,,,
8/9/2017,6pm-8pm,,11,,,,,,,
8/10/2017,8am-10am,,32,,19,,,,,
8/10/2017,10am-12pm,19,,,,,,,,
8/10/2017,12pm-2pm,,,,,,30,,,22
8/10/2017,8am-10am,,,,,,,,,
8/10/2017,10am-12pm,,,,30,,27,20,,
8/10/2017,12pm-2pm,,20,,37,,21,,,
8/10/2017,12pm-2pm,,11,27,,34,,,,13
8/10/2017,2pm-4pm,,,17,,4,,,,
8/10/2017,2pm-4pm,0,,,18,,,,,
8/10/2017,4pm-6pm,,,,0,,,7,,
8/10/2017,4pm-6pm,14,22,,,,,,,
8/11/2017,8am-10am,,,38,2,,,,23,
8/11/2017,8am-10am,35,,26,,13,,35,36,
8/11/2017,10am-12pm,,38,20,,,,,,2
8/11/2017,10am-12pm,,6,,,,,,,
8/11/2017,12pm-2pm,,,,,,,,1,
8/11/2017,12pm-2pm,,,,38,,,,,
8/11/2017,2pm-4pm,4,,,,,,,39,
8/11/2017,4pm-6pm,,,,,,,,,9
8/12/2017,8am-10am,,,,,3,,,,
8/12/2017,8am-10am,,,7,,,,,,
8/12/2017,10am-12pm,,,4,,,,38,,15
8/12/2017,10am-12pm,26,13,,,,,,,
8/12/2017,12pm-2pm,,20,,,,,,,
8/12/2017,2pm-4pm,,,,,,,,,38
8/12/2017,2pm-4pm,,,,,,,,,
8/12/2017,2pm-4pm,,,,,,7,,,
8/12/2017,4pm-6pm,,,16,,11,,,15,
8/12/2017,4pm-6pm,,8,,24,0,,18,,0
8/12/2017,6pm-8pm,,,,32,,10,,,
8/12/2017,6pm-8pm,,,,8,,,,,38
8/13/2017,8am-10am,,,,,,4,31,,34
8/13/2017,8am-10am,,,,,,,,,
8/13/2017,10am-12pm,,,,,,,,,26
8/13/2017,10am-12pm,,,,,,,,,
8/13/2017,12pm-2pm,,,,,35,,,37,
8/13/2017,12pm-2pm,,,,,,,,,
8/13/2017,12pm-2pm,38,,,28,33,18,14,,17
8/13/2017,2pm-4pm,,17,,,35,,,,38
8/13/2017,2pm-4pm,,,,,36,,,,
8/13/2017,4pm-6pm,,,,,,21,10,,33
8/13/2017,4pm-6pm,,,,22,,,,,
8/13/2017,4pm-6pm,6,,,39,2,,,,39
8/13/2017,6pm-8pm,,,,,,,11,28,
8/13/2017,6pm-8pm,,,,,,,,,37
8/13/2017,6pm-8pm,19,,,3,,,,,
8/14/2017,10am-12pm,,4,,,,,,36,
8/14/2017,8am-10am,,,,,26,,,,2
8/14/2017,10am-12pm,4,,,,,,,24,
8/14/2017,10am-12pm,,,,4,,,16,,
8/14/2017,12pm-2pm,,,,,,,,,
8/14/2017,12pm-2pm,,7,26,37,,,24,31,
8/14/2017,2pm-4pm,6,,,38,,,,15,
8/14/2017,2pm-4pm,,,39,,,,29,,35
8/14/2017,4pm-6pm,,,,24,,,,24,
8/14/2017,6pm-8pm,,,,8,,,,,17
8/14/2017,4pm-6pm,,,9,,,,,,17
8/14/2017,6pm-8pm,6,37,,,,,,,
8/15/2017,8am-10am,20,,,,,,,,
8/15/2017,8am-10am,,,,,,,,,
8/15/2017,10am-12pm,15,,,,38,,,,
8/15/2017,12pm-2pm,39,,,,,,,15,
8/15/2017,12pm-2pm,23,,,19,29,,,,12
8/15/2017,2pm-4pm,,,,10,,,37,,24
8/15/2017,2pm-4pm,24,,,23,20,,,,
8/15/2017,4pm-6pm,,,,21,22,,,,
8/15/2017,4pm-6pm,,,,,,,,,
8/15/2017,6pm-8pm,,,,35,17,,,,
8/15/2017,6pm-8pm,,,,,26,,,,
8/16/2017,8am-10am,,,,,,,,,
8/16/2017,8am-10am,,,20,38,,,,34,
8/16/2017,10am-12pm,21,,,,,,,22,
8/16/2017,8am-10am,,,,,,,28,30,
8/16/2017,12pm-2pm,,,,18,,,,4,
8/16/2017,12pm-2pm,,,,,,,17,,
8/16/2017,2pm-4pm,,8,,,5,,,,
8/16/2017,2pm-4pm,,,,19,,,24,,
8/16/2017,4pm-6pm,,,,17,,,32,,
8/16/2017,6pm-8pm,,,,20,,,34,,31
8/17/2017,8am-10am,8,,25,,,,,,
8/17/2017,8am-10am,7,30,,,,,,,
8/17/2017,10am-12pm,,,,9,33,,,,
8/17/2017,10am-12pm,7,,,,,,,,
8/17/2017,12pm-2pm,,,,,,,,,
8/17/2017,12pm-2pm,,,13,,,,,,12
8/17/2017,2pm-4pm,,6,,2,,,,,
8/17/2017,4pm-6pm,,14,,,,33,,,
8/18/2017,8am-10am,,,,18,,11,,,
8/18/2017,8am-10am,,23,,,,31,,,
8/18/2017,10am-12pm,34,,1,,,,,,
8/18/2017,10am-12pm,,,,,,,,,
8/18/2017,12pm-2pm,,,,,,,,24,15
8/18/2017,12pm-2pm,,,,,0,,,,
8/18/2017,12pm-2pm,,,24,,,,3,,
8/18/2017,2pm-4pm,,,,,,,,4,
8/18/2017,2pm-4pm,17,,,,,,,,
8/18/2017,4pm-6pm,,,14,,33,,36,,
8/18/2017,4pm-6pm,,,,,,,36,,
8/19/2017,8am-10am,,,,,,,,19,
8/19/2017,8am-10am,,,,,23,,,,37
8/19/2017,10am-12pm,,,,39,,,,,
8/19/2017,10am-12pm,,13,,,17,,,23,
8/19/2017,12pm-2pm,,,,,,,,,
8/19/2017,12pm-2pm,,13,,,,15,,,
8/19/2017,2pm-4pm,33,,,,,,,0,
8/19/2017,4pm-6pm,,35,,11,,15,33,,
8/19/2017,4pm-6pm,,,,,,,,,19
8/19/2017,6pm-8pm,,,,,,,,,
8/19/2017,6pm-8pm,,,,,,18,,,25
8/20/2017,8am-10am,,,,,,,,,
8/20/2017,8am-10am,,1,,32,,,33,0,16
8/20/2017,10am-12pm,,,,,,9,,,
8/20/2017,10am-12pm,,9,,,,,33,,21
